name,region,type,homepage,data_url,clicks,link_found
Blackburn with Darwen Borough Council,North West,Unitary,http://www.blackburn.gov.uk,,,
Blaenau Gwent County Borough,Wales,Unitary,http://www.blaenau-gwent.gov.uk,,,
Bolton Metropolitan Borough Council,North West,Metropolitan Borough,http://www.bolton.gov.uk,,,
Bournemouth Borough Council,South West,Unitary,http://www.bournemouth.gov.uk,http://www.bournemouth.gov.uk/Data/,,
Bracknell Forest Council,South East,Unitary,http://www.bracknell-forest.gov.uk,http://www.bracknell-forest.gov.uk/opendata,,
Braintree District Council,East of England,District,http://www.braintree.gov.uk,,,
Breckland District Council,East of England,District,http://www.breckland.gov.uk,,,
Bridgend County Borough Council,Wales,Unitary,http://www.bridgend.gov.uk,,,
Brighton and Hove City Council,South East,Unitary,http://www.brighton-hove.gov.uk,http://www.brighton-hove.gov.uk/index.cfm?request=b1160744,,
Bristol City Council,South West,Unitary,http://www.bristol.gov.uk,http://www.bristol.gov.uk/opendata,,
Broadland District Council,East of England,District,http://www.broadland.gov.uk,http://www.broadland.gov.uk/opendata,,
Bromsgrove District Council,West Midlands,District,http://www.bromsgrove.gov.uk,,,
Broxbourne Council,East of England,District,http://www.broxbourne.gov.uk,,,
Broxtowe Borough Council,East Midlands,District,http://www.broxtowe.gov.uk,http://www.broxtowe.gov.uk/opendata,,
Burnley Borough Council,North West,District,http://www.burnley.gov.uk,,,
Caerphilly County Borough Council,Wales,Unitary,http://www.caerphilly.gov.uk,,,
Cambridge City Council,East of England,District,http://www.cambridge.gov.uk,http://www.cambridge.gov.uk/opendata,,
Cambridgeshire County Council,East of England,County,http://www.cambridgeshire.gov.uk,http://www.cambridgeshire.gov.uk/opendata,1,
Cannock Chase District Council,West Midlands,District,http://www.cannockchasedc.gov.uk,,,
Canterbury City Council,South East,District,http://www.canterbury.gov.uk,http://www.canterbury.gov.uk/opendata,,
Carlisle City Council,North West,District,http://www.carlisle.gov.uk,,,
Carmarthenshire County Council,Wales,Unitary,http://www.carmarthenshire.gov.uk,,,
Carrickfergus Borough Council,Northern Ireland,District,http://www.carrickfergus.org,,,
Castlereagh Borough Council,Northern Ireland,District,http://www.castlereagh.gov.uk,,,
Central Bedfordshire Council,East of England,Unitary,http://www.centralbeds.gov.uk,,,
Ceredigion County Council,Wales,Unitary,http://www.ceredigion.gov.uk,,,
Charnwood Borough Council,East Midlands,District,http://www.charnwood.gov.uk,,,
Chelmsford Borough Council,East of England,District,http://www.chelmsford.gov.uk,,,
